id,created_at,record_number,pdf_link,result_page,parent_page_num,num_pages
130,2025-03-19 00:44:02.326579+00,104-10095-10075,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10095-10075.pdf,12,12,4
131,2025-03-19 00:44:03.508738+00,104-10095-10161,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10095-10161.pdf,12,12,6
134,2025-03-19 00:44:05.863842+00,104-10095-10276,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10095-10276.pdf,13,13,7
137,2025-03-19 00:44:07.052146+00,104-10097-10360,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10097-10360.pdf,13,13,2
140,2025-03-19 00:44:08.190295+00,104-10098-10380,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10098-10380.pdf,13,13,1
142,2025-03-19 00:44:11.671753+00,104-10100-10034,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10100-10034.pdf,14,14,5
145,2025-03-19 00:44:12.861186+00,104-10100-10065,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10100-10065.pdf,14,14,1
148,2025-03-19 00:44:14.054465+00,104-10100-10090,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10100-10090.pdf,14,14,1
153,2025-03-19 00:44:17.53739+00,104-10100-10192,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10100-10192.pdf,15,15,1
156,2025-03-19 00:44:18.820852+00,104-10100-10237,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10100-10237.pdf,15,15,1
159,2025-03-19 00:44:20.021741+00,104-10100-10251,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10100-10251.pdf,15,15,1
161,2025-03-19 00:44:21.172566+00,104-10100-10357,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10100-10357.pdf,15,15,1
164,2025-03-19 00:44:23.477006+00,104-10100-10394,https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10100-10394.pdf,16,16,1
